"","nombres","omega","alfa","beta","a","b"
"1","BHP",0.506424757744512,0.0960862177121017,0.813112634656189,0.0402169194850246,0.933750883806688
"2","BBL",0.539235431168062,0.0932303375229216,0.817197419695681,0.0418626183668959,0.923768724658724
"3","LIN",0.12435010630185,0.172724939899912,0.794977480768544,0.0925034702204083,0.807608015647643
"4","RIO",0.657246436074638,0.137136233732077,0.739884965218786,0.0332190337674324,0.938005707098036
"5","CTA-PB",0.733818522104199,0.494412319934448,0.504587684650588,4.78840632039963e-09,0.898872912143356
"6","VALE",1.00765079502179,0.116395337321197,0.763991650367669,0.0352707704116038,0.938627395594526
"7","CTA-PA",0.231865354222573,0.105618022079029,0.893381977762405,0.0351302797337463,0.90021352319863
"8","SHW",0.127089121569785,0.146691263165569,0.810515135229616,0.0471191928381623,0.918552068484606
"9","APD",0.272556183861224,0.286086701596734,0.697982876411141,0.0871296080664612,0.843008939269293
"10","ECL",0.225805881296162,0.236876601769146,0.74945979877628,0.0579718909896731,0.866052057989574
"11","DD",0.273772522902162,0.159813010721267,0.80067565235736,0.0294500176247145,0.916526490429654
"12","SCCO",0.29626470884759,0.0752772617438562,0.88100088776759,0.0860895847073905,0.801070390025773
"13","NEM",0.131746183702767,0.0793852804573691,0.903379475906041,0.0304199567043777,0.917445999866022
"14","DOW",0.228304018594786,0.11066823953179,0.860244996112612,0.0350038503281849,0.937599524235325
"15","GOLD",0.204388124050098,0.0627604387916446,0.907001281725297,0.021579526295132,0.953790965387785
"16","FCX",0.861775219804492,0.0889777739950712,0.849558420496681,0.0413284250031665,0.932921206824412
"17","CRH",0.16555816479982,0.119520390393921,0.85112270634488,0.0324721623680545,0.931717037868599
"18","PPG",0.240333850986927,0.183962764893684,0.767289293016879,0.0197472457940915,0.949449957938678
"19","CTVA",0.395556009912963,0.199420863491722,0.753321007724567,0.166706984798242,0.472229475787116
"20","NTR",0.427383559524025,0.106874336797167,0.810507417198667,0.0489514068294752,0.90430121645881
"21","LYB",0.371936019420552,0.135183504732706,0.830678518295329,0.0628583330467763,0.885416449519723
"22","FNV",0.21482482559976,0.122103217903743,0.830406346422416,0.0658526907124554,0.849371424466791
"23","MT",0.534893039965777,0.065487235868011,0.891240713025871,0.014707186923561,0.975202363815433
"24","VMC",0.210799722488985,0.103034235710771,0.866956163259473,0.0814297940543977,0.283993257303946
"25","MLM",0.200870631233426,0.114158159140947,0.857278315538732,0.0500511432522672,0.762641539939188
"26","PKX",0.532432570407447,0.0717066896903287,0.845980620233043,0.0153809268784141,0.96884995671471
"27","ALB",1.77950340360636,0.14895153924783,0.703832136691787,0.0573769397896108,0.784716180766306
"28","WPM",0.041573527844613,0.0470867310303766,0.948592850325971,0.0291790343853623,0.927741700804041
"29","AVTR",0.113616820542374,0.0765742771980255,0.913217008131981,0.0190660958149775,0.961369197032342
"30","AEM",0.10155284104853,0.0385402142478851,0.946884811575188,0.0420864788272168,0.919970022180721
"31","SUZ",0.772935349292854,0.165607995594094,0.743950905742834,0.115470098164371,0.514306877048592
"32","NUE",1.27648154345813,0.192966999617878,0.650408257043077,0.11890364690989,0.74850791414536
"33","AVTR-PA",0.196194113120986,0.0599515866432899,0.915825301404448,0.00848665416875848,0.970155908810339
"34","CE",0.192651876579245,0.116481204548312,0.854531188972088,0.0288114463323951,0.949665700256507
